289,268,32,145,214,95,154,2710,-11343,124,65,-9999,3,-9999,13,7,6
359,142,55,144,212,89,145,2709,-11343,124,66,-9999,3,-9999,13,7,5
394,221,91,139,211,79,130,2708,-11343,122,67,-9999,3,-9999,13,7,3
254,326,73,120,218,69,112,2707,-11343,127,68,-9999,4,-9999,13,7,2
287,189,73,143,217,94,152,2710,-11342,122,69,-9999,3,-9999,13,7,5
295,195,41,142,214,88,145,2709,-11342,129,70,-9999,4,-9999,13,7,4
315,301,103,131,215,76,126,2708,-11342,142,72,-9999,5,-9999,13,7,3
175,325,74,108,223,66,108,2707,-11342,155,72,-9999,6,-9999,13,7,2
86,233,32,95,229,63,100,2706,-11342,103,67,-9999,7,-9999,13,7,1
32,125,16,91,232,62,91,2705,-11342,42,62,-9999,8,-9999,12,7,0
228,213,61,139,221,89,148,2710,-11341,150,74,-9999,5,-9999,13,7,4
310,203,82,138,216,83,138,2709,-11341,147,76,-9999,6,-9999,13,7,3
252,281,94,123,218,70,116,2708,-11341,149,77,-9999,8,-9999,13,7,2
109,271,41,101,227,61,97,2707,-11341,117,76,-9999,9,-9999,13,7,1
54,149,21,91,231,60,93,2706,-11341,62,71,-9999,10,-9999,13,7,1
23,73,13,92,233,64,93,2705,-11341,45,66,-9999,10,-9999,13,7,0
40,82,17,115,233,53,71,2702,-11341,35,54,-9999,9,-9999,1,10,0
39,124,17,120,232,49,66,2701,-11341,49,50,-9999,8,-9999,1,7,0
151,254,39,138,223,82,137,2710,-11340,133,81,-9999,8,-9999,13,7,3
283,219,66,134,217,76,128,2709,-11340,122,82,-9999,10,-9999,13,7,3
236,285,125,115,222,66,107,2708,-11340,127,81,-9999,11,-9999,13,7,2
79,288,37,97,231,58,90,2707,-11340,101,79,-9999,12,-9999,13,7,1
33,114,16,92,232,60,90,2706,-11340,48,74,-9999,12,-9999,13,7,0
11,43,3,94,234,65,95,2705,-11340,32,70,-9999,12,-9999,2,7,0
34,77,11,114,233,61,87,2703,-11340,29,62,-9999,12,-9999,1,7,0
39,178,3,125,232,66,98,2702,-11340,53,58,-9999,11,-9999,2,7,0
109,221,63,131,229,68,107,2701,-11340,83,55,-9999,9,-9999,2,7,0
94,258,48,129,230,65,99,2700,-11340,115,52,-9999,7,-9999,13,7,0
120,291,94,129,227,62,95,2699,-11340,136,49,-9999,5,-9999,13,7,0
160,254,60,136,224,79,133,2710,-11339,120,88,-9999,11,-9999,13,7,3
275,277,125,128,220,70,118,2709,-11339,122,87,-9999,13,-9999,13,7,2
114,313,66,106,228,60,97,2708,-11339,100,86,-9999,14,-9999,13,7,1
46,198,21,95,232,57,87,2707,-11339,62,82,-9999,15,-9999,13,7,1
19,61,9,93,234,59,87,2706,-11339,26,78,-9999,15,-9999,13,7,0
13,49,6,100,234,63,92,2705,-11339,21,74,-9999,15,2,2,7,0
27,128,11,112,234,65,97,2704,-11339,32,70,-9999,14,2,2,7,0
44,221,16,127,232,68,105,2703,-11339,65,66,-9999,13,2,2,7,0
105,252,59,138,228,73,115,2702,-11339,102,63,-9999,12,2,13,7,0
213,235,90,140,223,72,117,2701,-11339,114,60,-9999,10,2,13,7,0
147,234,50,137,224,72,119,2700,-11339,131,57,-9999,8,2,13,7,0
277,246,141,138,222,69,113,2699,-11339,136,55,-9999,5,2,13,7,0
22,112,11,58,184,41,53,3069,-11338,52,225,1,33,-9999,2,10,22
167,250,76,131,225,73,123,2710,-11338,116,96,-9999,14,-9999,13,7,2
135,292,71,116,226,63,103,2709,-11338,92,93,-9999,16,-9999,13,7,1
48,249,33,101,233,55,85,2708,-11338,66,90,-9999,17,-9999,13,7,1
17,94,10,96,234,55,81,2707,-11338,32,86,-9999,18,-9999,13,7,1
9,42,4,99,235,56,83,2706,-11338,19,81,-9999,18,-9999,13,7,0
22,126,11,110,234,60,92,2705,-11338,30,77,2,17,2,2,7,0
63,279,30,125,231,67,106,2704,-11338,58,74,2,16,2,13,7,0
156,313,89,138,227,74,117,2703,-11338,101,71,-9999,15,2,13,7,0
249,277,99,143,221,75,124,2702,-11338,122,68,-9999,13,2,13,7,0
263,172,60,139,220,74,124,2701,-11338,100,65,-9999,11,2,13,7,0
222,176,66,136,222,74,124,2700,-11338,100,63,-9999,9,2,13,7,0
214,167,50,138,222,71,121,2699,-11338,96,60,-9999,6,2,13,7,0
48,102,9,69,182,27,45,3072,-11337,75,222,1,33,-9999,2,7,17
61,96,17,64,182,46,60,3071,-11337,55,225,1,33,-9999,2,10,15
37,92,8,58,183,44,56,3070,-11337,51,224,1,33,-9999,2,10,14
27,55,8,57,184,43,54,3069,-11337,42,224,1,33,-9999,2,10,13
23,44,14,58,186,46,58,3068,-11337,43,224,1,33,-9999,2,10,11
159,208,47,77,191,43,62,3013,-11337,153,226,1,32,2,13,10,2
71,183,37,120,231,62,107,2710,-11337,73,103,-9999,17,-9999,13,7,1
39,181,28,105,232,54,90,2709,-11337,70,99,-9999,19,-9999,13,7,1
11,121,8,98,235,52,79,2708,-11337,46,94,-9999,20,-9999,13,7,1
6,40,3,99,235,55,81,2707,-11337,27,89,2,21,-9999,13,7,0
19,80,13,106,234,58,87,2706,-11337,27,85,2,21,-9999,2,7,0
41,226,18,121,232,64,100,2705,-11337,54,81,2,20,2,2,7,0
150,321,81,137,226,73,118,2704,-11337,102,78,2,18,2,13,7,0
304,273,117,143,220,77,126,2703,-11337,120,75,-9999,16,2,13,7,0
241,209,71,138,220,77,129,2702,-11337,101,73,-9999,14,2,13,7,0
202,175,51,131,224,76,127,2701,-11337,77,70,-9999,12,2,13,7,0
153,143,23,132,225,75,124,2700,-11337,82,68,-9999,9,2,13,7,0
241,135,77,134,224,71,118,2699,-11337,94,66,-9999,6,2,13,7,0
167,142,18,130,224,70,118,2698,-11337,85,65,-9999,4,2,13,7,0
229,220,54,135,222,69,117,2697,-11337,89,67,-9999,3,2,8,7,0
225,220,48,137,224,68,115,2696,-11337,123,69,-9999,3,2,8,7,0
196,175,38,131,224,68,115,2695,-11337,129,69,-9999,3,2,8,7,0
217,178,75,121,224,68,112,2694,-11337,126,69,-9999,3,2,8,7,0
139,207,31,116,228,67,111,2693,-11337,94,69,-9999,3,-9999,8,7,0
109,183,74,108,230,62,110,2692,-11337,70,69,-9999,3,-9999,8,7,0
83,170,30,72,180,50,73,3075,-11336,84,215,1,33,-9999,2,7,12
157,189,57,75,178,50,74,3074,-11336,70,221,1,33,-9999,2,7,9
127,183,47,72,178,50,73,3073,-11336,95,224,1,33,-9999,2,10,6
77,147,18,66,180,49,69,3072,-11336,81,224,1,33,-9999,2,7,5
60,63,13,59,182,47,62,3071,-11336,67,223,1,33,-9999,2,10,4
43,42,9,58,183,46,57,3070,-11336,58,223,1,33,-9999,2,10,4
36,42,11,58,184,48,60,3069,-11336,42,223,1,33,-9999,2,10,3
36,52,16,58,185,51,63,3068,-11336,47,224,1,33,-9999,2,10,3
278,240,50,86,185,46,69,3014,-11336,132,225,1,32,2,12,10,0
220,235,64,73,189,40,61,3013,-11336,131,225,1,32,2,12,10,0
123,211,51,63,195,42,59,3012,-11336,119,224,1,32,2,2,16,0
56,147,31,61,200,45,61,3011,-11336,109,214,1,32,2,2,10,0
255,300,110,143,223,79,127,2704,-11336,122,82,2,20,2,13,7,0
208,224,59,138,222,77,129,2703,-11336,109,80,-9999,18,2,13,7,0
169,230,23,127,225,76,127,2702,-11336,86,77,-9999,16,2,13,7,0
141,158,25,123,227,75,125,2701,-11336,76,75,-9999,13,2,13,7,0
200,162,78,128,225,73,122,2700,-11336,96,73,-9999,10,2,13,7,0
187,165,64,129,226,70,118,2699,-11336,104,71,-9999,6,2,13,7,0
175,343,53,134,224,75,125,2698,-11336,97,69,-9999,4,2,13,7,0
289,338,87,143,218,76,125,2697,-11336,132,69,-9999,3,2,8,7,0
254,396,98,137,222,72,117,2696,-11336,176,69,-9999,3,2,8,7,0
153,284,55,119,228,68,112,2695,-11336,155,69,-9999,3,2,8,7,0
127,227,59,109,229,65,107,2694,-11336,118,69,-9999,3,2,8,7,0
83,193,32,106,232,63,107,2693,-11336,70,69,-9999,2,-9999,8,7,0
105,117,24,74,180,52,76,3076,-11335,58,220,1,33,-9999,2,7,13
117,160,33,76,178,50,76,3075,-11335,73,225,1,33,-9999,2,7,10
197,145,49,77,175,52,80,3074,-11335,77,224,1,33,-9999,2,9,7
198,156,70,72,176,53,78,3073,-11335,89,223,1,33,-9999,2,7,5
100,168,28,62,180,51,72,3072,-11335,94,222,1,33,-9999,2,10,3
63,103,10,59,182,49,65,3071,-11335,96,222,1,33,-9999,2,10,2
58,75,13,58,183,46,61,3070,-11335,53,222,1,33,-9999,2,10,2
